Event	ID	Name			Wwise Object Path	Notes
	165273641	play_player_loco_pop_in			\PlayerLocomotion\play_player_loco_pop_in	
	649430399	play_player_loco_footsteps_material			\PlayerLocomotion\play_player_loco_footsteps_material	
	688589301	play_player_loco_rolling_onion			\PlayerLocomotion\play_player_loco_rolling_onion	
	2206730916	play_player_loco_rolling_noise			\PlayerLocomotion\play_player_loco_rolling_noise	
	2506827726	play_player_vocs_edude_laughts			\Player\play_player_vocs_edude_laughts	
	2544220277	play_player_vocs_edude_onion			\Player\play_player_vocs_edude_onion	
	2952227656	play_player_loco_pop_out			\PlayerLocomotion\play_player_loco_pop_out	
	3084600189	play_onion_music			\Music\play_onion_music	
	3187507146	Play_Test			\Default Work Unit\Play_Test	
	3670755994	play_player_vocs_edude_sighs			\Player\play_player_vocs_edude_sighs	
	3759155914	Play_Test4			\Default Work Unit\Play_Test4	
	3759155916	Play_Test2			\Default Work Unit\Play_Test2	
	3809297239	play_player_vocs_edude_grunts			\Player\play_player_vocs_edude_grunts	
	3991942870	music			\Music\music	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	Material			\Default Work Unit\Material	

Switch	ID	Name	Switch Group			Notes
	782826392	default	Material			

State Group	ID	Name			Wwise Object Path	Notes
	410841082	StateGroupMusic			\Default Work Unit\StateGroupMusic	

State	ID	Name	State Group			Notes
	748895195	None	StateGroupMusic			
	3372421815	LevelStart	StateGroupMusic			
	3374585465	InMenu	StateGroupMusic			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3334042923	RTPC_Noise			\Default Work Unit\RTPC_Noise	

Modulator LFO	ID	Name			Wwise Object Path	Notes
	642706188	Noise Modulator LFO			\Default Work Unit\Noise Modulator LFO	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	224189034	Wwise Tone Generator	Wwise Tone Generator		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_rolling_synth\Wwise Tone Generator	
	809201265	Wwise Sine	Wwise Sine		\Actor-Mixer Hierarchy\Default Work Unit\Test\Wwise Sine	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	14969111	player_loco_footsteps_default_05	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\FOODIngr_Onion Tappin Hitting Footsteps Rustling 10_ZZOGG_NONE_Tascam DR100 mkIII USI pro Mono_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_footsteps_material\player_loco_footsteps_material_default\player_loco_footsteps_default_05		5349
	18426992	player_vocs_edude_laughts_02	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Laugh2_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_laughts\player_vocs_edude_laughts_02		7116
	78758183	player_loco_pop out_01	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Zzogg\locomotion\player_loco_pop out_01_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_pop out\player_loco_pop out_01		2046
	114572221	player_loco_footsteps_default_01	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\FOODIngr_Onion Tappin Hitting Footsteps Rustling 08_ZZOGG_NONE_Tascam DR100 mkIII USI pro Mono_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_footsteps_material\player_loco_footsteps_material_default\player_loco_footsteps_default_01		4875
	124501231	player_loco_footsteps_default_04	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Zzogg\locomotion\FOODIngr_Onion Tappin Hitting Footsteps Rustling 04_ZZOGG_NONE_Tascam DR100 mkIII USI pro Mono_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_footsteps_material\player_loco_footsteps_material_default\player_loco_footsteps_default_04		4617
	153829101	player_vocs_edude_onion_10	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion10_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_10		12552
	291125973	player_loco_footsteps_default_02	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Zzogg\locomotion\FOODIngr_Onion Tappin Hitting Footsteps Rustling 02_ZZOGG_NONE_Tascam DR100 mkIII USI pro Mono_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_footsteps_material\player_loco_footsteps_material_default\player_loco_footsteps_default_02		4463
	297282353	player_vocs_edude_onion_01	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion1_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_01		6758
	299665870	player_loco_pop out_02	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\player_loco_pop out_02_7E846921.wem		\Actor-Mixer Hierarchy\Player\player_loco\player_loco_pop out\player_loco_pop out_02		2457
	306539320	player_vocs_edude_onion_06	C:\My-First-Game-Jam\My First Game Jam\My First Game Jam_WwiseProject\.cache\Mac\SFX\Onion6_A2BFDF47.wem		\Actor-Mixer Hierarchy\Player\player_vocs_edude\player_vocs_edude_onion\player_vocs_edude_onion_06		13370
